Page,Line,Ignore_issues,Issue_exits
434,7,"extra green(1) at position 21 [16, 19]",no
434,8,"missing green(38) at position 1 [345, 12]",no
434,8,"missing orange(28) at position 5 [14, 10]",no
434,9,"missing orange(3) at position 1 [44, 29]",no
434,9,"missing blue(6) at position 2 [43, 29]",no
434,10,"extra pink(1) at position 6 [7, 7]",no
435,2,"extra green(1) at position 26 [7, 15]",no
435,12,"extra green(1) at position 13 [16, 19]",no
436,1,"extra green(2) at position 15 [11, 14]",no
436,10,"extra pink(1) at position 23 [20, 9]",no
438,3,"missing green(1) at position 2 [43, 57]",no
439,1,"extra pink(1) at position 14 [7, 7]",no
439,11,"extra blue(1) at position 16 [19, 13]",no
440,4,"missing green(38) at position 1 [345, 12]",no
440,4,"missing orange(28) at position 5 [14, 10]",no
440,5,"missing orange(3) at position 1 [43, 29]",no
440,5,"missing blue(6) at position 2 [43, 28]",no
441,6,"missing blue(1) at position 26 [26, 14]",no
441,7,"extra pink(1) at position 10 [23, 19]",no
442,14,"extra green(1) at position 12 [6, 5]",no
445,15,"missing green(38) at position 1 [345, 11]",no
445,15,"missing orange(28) at position 5 [11, 8]",no
446,1,"missing orange(3) at position 1 [41, 29]",no
446,1,"missing blue(6) at position 2 [41, 28]",no
447,3,"missing green(1) at position 8 [52, 41]",no
447,4,"extra green(1) at position 35 [19, 9]",no
447,15,"extra green(1) at position 27 [13, 42]",no
448,2,"extra blue(1) at position 19 [8, 41]",no
449,2,"missing green(1) at position 20 [7, 18]",no
449,3,"extra green(1) at position 24 [21, 25]",no
449,6,"missing blue(1) at position 28 [9, 19]",no
449,7,"extra pink(1) at position 3 [43, 48]",no
450,3,"extra pink(1) at position 15 [20, 9]",no
450,4,"extra pink(1) at position 16 [7, 14]",no
452,15,"missing green(38) at position 1 [345, 11]",no
452,15,"missing orange(28) at position 5 [14, 10]",no
453,1,"missing orange(3) at position 1 [43, 29]",no
453,1,"missing blue(6) at position 2 [43, 29]",no
453,3,"missing green(1) at position 21 [24, 14]",no
453,13,"extra pink(1) at position 10 [20, 9]",no
453,14,"extra pink(1) at position 12 [68, 65]",no
454,3,"extra green(1) at position 11 [8, 40]",no
457,6,"missing pink(1) at position 22 [14, 10]",no
458,4,"missing green(38) at position 1 [345, 11]",no
458,4,"missing orange(28) at position 5 [11, 8]",no
